title,url,status,timing
Специальный инвестиционный контракт (СПИК 2.0),https://gisp.gov.ru/nmp/measure/10511015,Активная,
"Программа ФРП ""Проекты развития""",https://gisp.gov.ru/nmp/measure/6628507,Активная,"Конкурсное событие, На регулярной основе"
"Программа ФРП ""Комплектующие изделия""",https://gisp.gov.ru/nmp/measure/8124256,Активная,"Конкурсное событие, На регулярной основе"
"Программа ФРП ""Маркировка товаров""",https://gisp.gov.ru/nmp/measure/8869240,Активная,"Конкурсное событие, На регулярной основе"
"Совместные займы ФРП с РФРП по программе ""Комплектующие изделия""",https://gisp.gov.ru/nmp/measure/9172745,Активная,"Конкурсное событие, На регулярной основе"
"Программа ФРП ""Повышение производительности труда""",https://gisp.gov.ru/nmp/measure/9126744,Активная,"Конкурсное событие, На регулярной основе"
"Программа ФРП ""Автокомпоненты""",https://gisp.gov.ru/nmp/measure/12447705,Активная,"Конкурсное событие, На регулярной основе"
"Программа ФРП ""Формирование компонентной и ресурсной базы""",https://gisp.gov.ru/nmp/measure/12447485,Активная,"Конкурсное событие, На регулярной основе"
"Совместные займы ФРП с РФРП по программе ""Проекты лесной промышленности""",https://gisp.gov.ru/nmp/measure/12447033,Активная,"Конкурсное событие, На регулярной основе"
"Совместные займы ФРП с РФРП по программе ""Повышение производительности труда""",https://gisp.gov.ru/nmp/measure/12446568,Активная,"Конкурсное событие, На регулярной основе"
"Совместные займы ФРП с РФРП по программе ""Проекты развития""",https://gisp.gov.ru/nmp/measure/9172540,Активная,"Конкурсное событие, На регулярной основе"
"Программа ФРП ""Лизинг""",https://gisp.gov.ru/nmp/measure/7709634,Активная,
Кластерная инвестиционная платформа (КИП),https://gisp.gov.ru/nmp/measure/12448166,Активная,"Конкурсное событие, 01.02.2024 — 29.11.2024"
Реестр промышленных технопарков и управляющих компаний промышленных технопарков,https://gisp.gov.ru/nmp/measure/12446975,Активная,"Конкурсное событие, На регулярной основе"
"О реестре организаций, осуществляющих деятельность в сфере радиоэлектронной промышленности",https://gisp.gov.ru/nmp/measure/12448388,Активная,"Конкурсное событие, На регулярной основе"
Реестр индустриальных (промышленных) парков и управляющих компаний индустриальных (промышленных) парков,https://gisp.gov.ru/nmp/measure/8123826,Активная,"Конкурсное событие, На регулярной основе"
Реестр технопарков в сфере высоких технологий и управляющих компаний технопарков в сфере высоких технологий,https://gisp.gov.ru/nmp/measure/12448396,Активная,"Конкурсное событие, На регулярной основе"
Подтверждение производства промышленной продукции на территории РФ,https://gisp.gov.ru/nmp/measure/8880371,Активная,"Конкурсное событие, На регулярной основе"
Предоставление льготы при определении платы за аренду лесного участка предприятиям лесопромышленного комплекса,https://gisp.gov.ru/nmp/measure/8879809,Активная,"Конкурсное событие, На регулярной основе"
О минимальной доле закупок товаров российского происхождения,https://gisp.gov.ru/nmp/measure/12447060,Активная,"Конкурсное событие, На регулярной основе"
Комплексные экологические разрешения (КЭР),https://gisp.gov.ru/nmp/measure/12448312,Активная,"Конкурсное событие, На регулярной основе"
"Субсидии организациям авиационной промышленности, на компенсацию затрат на уплату купонного дохода по облигационным займам, привлеченным с предоставлением в 2010 году государственных гарантий РФ",https://gisp.gov.ru/nmp/measure/7774959,Активная,"Конкурсное событие, На регулярной основе"
"Субсидии российским кредитным организациям на возмещение выпадающих доходов по кредитам, выданным на приобретение специализированной техники и деревянных домов",https://gisp.gov.ru/nmp/measure/8870983,Активная,
"Субсидии предприятиям транспортного машиностроения на компенсацию части затрат, связанных с производством инновационного грузового железнодорожного подвижного состава",https://gisp.gov.ru/nmp/measure/7763874,Активная,
Субсидии производителям колесных транспортных средств на компенсацию части затрат на осуществление НИОКР и проведение испытаний колесных транспортных средств,https://gisp.gov.ru/nmp/measure/9035504,Активная,
Субсидии заказчикам станкоинструментальной продукции на проведение НИОКР предприятиями станкоинструментальной промышленности,https://gisp.gov.ru/nmp/measure/12448565,Активная,
Субсидия на возмещение затрат на создание и обеспечение работы системы послепродажного обслуживания продукции в иностранных государствах,https://gisp.gov.ru/nmp/measure/12448381,Активная,
"Субсидия на возмещение части затрат на уплату процентов по кредитам, полученным на реализацию инвестиционных проектов создания объектов индустриальных (промышленных) парков и (или) технопарков",https://gisp.gov.ru/nmp/measure/6616898,Активная,
"Субсидия на компенсацию процентов по кредитам на создание инфраструктуры отрасли, в том числе кластеров, организациям радиоэлектронной промышленности",https://gisp.gov.ru/nmp/measure/6711908,Активная,
Субсидии на возмещение затрат на выпуск и реализацию пилотных партий средств производства,https://gisp.gov.ru/nmp/measure/7768022,Активная,
Субсидии российским организациям на финансовое обеспечение части затрат на создание научно-технического задела по разработке базовых технологий производства приоритетных электронных компонентов и...,https://gisp.gov.ru/nmp/measure/6711887,Активная,
"Субсидии на финансовое обеспечение части затрат на реализацию проектов по разработке современных технологий, организации производства и реализации на их основе конкурентоспособных медицинских изделий",https://gisp.gov.ru/nmp/measure/10902852,Активная,
"Субсидии на финансовое обеспечение части затрат на реализацию проектов по разработке современных технологий, организации производства и реализации на их основе конкурентоспособных лекарственных препаратов",https://gisp.gov.ru/nmp/measure/10903089,Активная,
Субсидия на поддержку производства и реализации изделий НХП,https://gisp.gov.ru/nmp/measure/12448139,Активная,
Финансовое обеспечения затрат на проведение сквозных НИОКР по современным технологиям в области беспилотных авиационных систем (БАС),https://gisp.gov.ru/nmp/measure/12448536,Активная,
Гранты в форме субсидий на сертификацию беспилотных авиационных систем (БАС),https://gisp.gov.ru/nmp/measure/12448494,Активная,
